symbol,date,news_count,rolling_3_sentiment,rolling_7_sentiment,return_1d,return_3d,return_7d,direction
ADANIENT,2025-07-31 07:00:00,23,0.1884057971014492,0.3664596273291925,-0.032830069704675946,-0.07731857904574058,-0.10082237431870333,UP
ADANIENT,2025-08-01 07:00:00,2,0.1884057971014492,0.6521739130434783,0.005402269700993445,-0.06684030605822322,-0.09385056504086575,DOWN
ADANIENT,2025-09-18 07:00:00,3,-0.7777777777777778,-0.0476190476190476,0.0507910074937552,0.051929691892768526,0.0785403182048976,UP
ADANIENT,2025-09-19 07:00:00,2,-0.7777777777777777,-0.619047619047619,0.041798732171156816,0.09471273938384672,0.09617306423041705,UP
ADANIENT,2025-09-22 07:00:00,2,-1.0,-0.9047619047619048,0.017836053372789484,0.11423809423136966,0.11889628024404275,DOWN
ADANIENT,2025-10-31 07:00:00,2,0.3333333333333333,0.4285714285714285,-0.005642885933091479,-0.027744898342087487,-0.030952960686915665,DOWN
ADANIENT,2025-11-03 08:00:00,2,0.6666666666666666,0.7142857142857143,-0.019132529862940784,-0.04238389237986351,-0.033703339984594294,DOWN
ADANIENT,2025-11-04 08:00:00,40,0.6333333333333333,0.5571428571428572,-0.04359864363631705,-0.06719062925105801,-0.07160622452808185,UP
ADANIENT,2025-11-05 08:00:00,3,0.1888888888888888,0.5095238095238095,-0.04359864363631705,-0.06719062925105801,-0.07160622452808185,UP
ADANIENT,2025-11-06 08:00:00,4,1.0,0.6523809523809524,0.023808431211642445,-0.03956226090646531,-0.050112253405137364,DOWN
ADANIENT,2025-11-10 08:00:00,2,0.0,0.380952380952381,-0.0016450899318307677,-0.00852218812362382,-0.09193983255560145,UP
ADANIENT,2025-11-12 08:00:00,12,0.0555555555555555,0.1666666666666666,0.0014892596535811542,0.04956344622281006,-0.02218374338138429,UP
ADANIENT,2025-11-16 08:00:00,2,-4.625929269271486e-17,0.0238095238095238,0.00901639344262306,0.022134252100349805,0.06382057125508189,DOWN
ADANIENT,2025-11-20 08:00:00,2,0.1666666666666666,-0.0476190476190476,-0.009729793499018813,-0.005950426669998232,0.00565225376587164,DOWN
ADANIENT,2025-11-25 08:00:00,5,-0.3333333333333333,0.0714285714285714,-0.007672811990676043,-0.04429676202997035,-0.05970755483346868,DOWN
ADANIENT,2025-11-26 08:00:00,4,0.1666666666666666,0.0,-0.02591792656587477,-0.0601033486606406,-0.07460605925199071,UP
ADANIENT,2025-11-28 08:00:00,2,0.8333333333333334,0.2142857142857142,-0.007981734743271685,-0.022894168466522702,-0.07526269993310863,DOWN
ADANIENT,2025-12-02 08:00:00,2,0.6666666666666666,0.7857142857142857,-0.022236134424284515,-0.039645603139887076,-0.08727905410362724,UP
ADANIENT,2025-12-08 08:00:00,4,0.0,0.4285714285714285,0.0130854618892422,0.01230896344748289,-0.015349531071611633,DOWN
ADANIENT,2025-12-18 08:00:00,2,0.3333333333333333,0.1904761904761904,0.004351119615761956,-0.003959207585031099,0.012389175770423977,UP
ADANIENT,2026-01-20 08:00:00,2,1.0,1.0,-0.011143080821460538,-0.05798919706334127,-0.06419236517571802,UP
ADANIENT,2026-01-22 08:00:00,2,1.0,1.0,-0.10649921471059665,-0.0928909237569927,-0.13425908656510033,UP
ADANIENT,2026-01-23 08:00:00,16,0.875,0.9464285714285714,0.05112115187440991,-0.035774014820713074,-0.09000141384550442,UP
ADANIENT,2026-01-27 08:00:00,7,-0.0476190476190476,0.4974489795918367,0.017963741348239415,-0.043951282335119024,-0.07537203633058676,UP
ADANIENT,2026-02-10 08:00:00,3,1.0,0.1978021978021978,0.002692514926826872,0.0035932448575739517,0.11977542097097471,DOWN
ADANIENT,2026-03-02 08:00:00,2,0.0,-0.2857142857142857,-0.022639600604985155,-0.06312033410388251,-0.039013350112539924,UP
ADANIGREEN,2025-07-28 07:00:00,19,-0.2631578947368421,0.1729323308270676,0.011654498343800501,-0.004996606799353431,-0.014171982409171835,DOWN
ADANIGREEN,2025-07-29 07:00:00,3,-0.2631578947368421,-0.112781954887218,-0.005809337850271601,0.03463468280294646,-0.025950187162315008,DOWN
ADANIGREEN,2025-09-19 07:00:00,3,-0.3333333333333333,-0.3984962406015038,0.11783261763435848,0.17632345709800945,0.18005843521696407,DOWN
ADANIGREEN,2025-10-01 07:00:00,2,0.3333333333333333,0.1428571428571428,0.005259789530455139,0.03375677217011397,-0.05404560960068561,DOWN
ADANIGREEN,2025-10-26 07:00:00,2,-0.3333333333333333,-0.4285714285714285,-0.01357773284015873,-0.022019254244290853,-0.025579681924870257,DOWN
ADANIGREEN,2025-10-28 07:00:00,20,-0.9333333333333332,-0.3999999999999999,0.107946586398326,0.0790418018909238,0.07321310696336569,UP
ADANIGREEN,2025-11-03 08:00:00,2,-1.0,-0.9404761904761906,-0.017010430318856296,-0.04710108966038418,0.05363209207400077,DOWN
ADANIGREEN,2025-11-18 08:00:00,2,0.3333333333333333,0.1428571428571428,-0.007145463387458029,0.0010291687272503403,0.027465643181447952,DOWN
ADANIGREEN,2025-11-24 08:00:00,6,1.0,0.4285714285714285,0.0021794641556027727,-0.04566040039062502,-0.05351803015438106,UP
ADANIGREEN,2025-11-26 08:00:00,2,0.6666666666666666,0.5714285714285714,-0.0031903023494168625,0.021497870662794405,-0.04315144863910747,UP
ADANIGREEN,2025-12-10 08:00:00,4,-0.5,0.2142857142857142,0.02929884861350973,0.025155967304366644,-0.0037160061448187065,UP
ADANIGREEN,2025-12-11 08:00:00,3,-0.0555555555555555,0.119047619047619,0.02100506835032956,0.04134540569466738,0.027256543799506705,UP
ADANIGREEN,2026-01-01 08:00:00,3,0.1111111111111111,-0.119047619047619,0.012574348481403153,0.03147659022009619,0.02153606439992095,DOWN
ADANIGREEN,2026-01-11 08:00:00,2,-0.3333333333333333,-0.0238095238095238,-0.004122147214400851,-0.07554944964458943,-0.08158690926519485,DOWN
ADANIGREEN,2026-01-22 08:00:00,6,0.4444444444444445,-0.0952380952380952,-0.14541634609654086,-0.12500002591506254,-0.17374104792137535,UP
ADANIGREEN,2026-01-23 08:00:00,28,0.1349206349206349,0.0578231292517006,0.03403207583902601,-0.0905884095997248,-0.1456217406015614,UP
ADANIGREEN,2026-01-24 08:00:00,5,0.0666666666666666,-0.0564625850340136,0.03403207583902601,-0.0905884095997248,-0.1456217406015614,UP
ADANIGREEN,2026-01-27 08:00:00,12,0.511111111111111,0.0863945578231292,0.029783568458594534,-0.09001433647872836,-0.1152563745680586,UP
ADANIGREEN,2026-01-28 08:00:00,2,0.7777777777777777,0.219047619047619,0.04362615422750582,0.11128364565015914,-0.060393886440953226,DOWN
ADANIGREEN,2026-02-03 08:00:00,2,-7.401486830834377e-17,0.3619047619047619,0.023978153853125184,0.11985219509222333,0.23505438313066596,UP
ADANIGREEN,2026-02-13 08:00:00,2,0.6666666666666666,0.4761904761904761,0.04287217254076792,-0.003518471977883908,0.024918549322829442,UP
ADANIGREEN,2026-03-02 08:00:00,2,0.6666666666666666,0.0,-0.03497313487118103,-0.09731352431501705,-0.09945777205573847,UP
ADANIPORTS,2025-06-03 07:00:00,2,-3.7007434154171876e-17,-0.4285714285714285,0.0027228832930976665,0.002372980520208179,0.025710689412839383,UP
ADANIPORTS,2025-08-03 07:00:00,3,-0.2222222222222222,-0.0952380952380952,0.031029655991155147,-0.0036585190716911242,-0.016081008475827274,DOWN
ADANIPORTS,2025-08-04 07:00:00,5,-0.2888888888888889,0.019047619047619,-0.022175857359581164,-0.010924186342366693,-0.027358069115766104,UP
ADANIPORTS,2025-08-05 07:00:00,20,-0.0888888888888889,0.1047619047619047,0.0066269053543845935,0.014846708011631238,-0.006468040998591884,DOWN
ADANIPORTS,2025-08-06 07:00:00,4,-0.3666666666666667,-0.1095238095238095,-0.01587298043990848,-0.03131974889146638,-0.03617737597017212,DOWN
ADANIPORTS,2025-10-13 07:00:00,3,-0.1111111111111111,-0.3333333333333333,-0.006120495569114426,0.02393237675433446,0.006976269878360641,UP
ADANIPORTS,2025-11-03 08:00:00,5,0.7333333333333334,0.0285714285714285,-0.00020760487848647813,-0.009259894213545783,0.010776784054627342,DOWN
ADANIPORTS,2025-11-04 08:00:00,22,0.096969696969697,-0.2441558441558441,-0.005261683368511738,-0.010127420717791935,0.011403684021257021,UP
ADANIPORTS,2025-11-05 08:00:00,4,-0.8030303030303031,-0.1727272727272727,-0.005261683368511738,-0.010127420717791935,0.011403684021257021,UP
ADANIPORTS,2025-11-07 08:00:00,2,-0.3333333333333333,-0.4584415584415584,-0.002347596699187826,0.00034616449151814166,-0.006805075667984162,UP
ADANIPORTS,2025-12-10 08:00:00,2,-0.3333333333333333,0.0,0.003938338235240257,0.015873015873015817,-0.009287909763976754,UP
ADANIPORTS,2025-12-24 08:00:00,3,-0.2222222222222222,-0.6666666666666667,-0.00481835843332401,-0.014316945903762979,-0.007938642037399912,DOWN
ADANIPORTS,2025-12-29 08:00:00,2,0.6666666666666666,0.0476190476190476,0.004675417109231583,-0.022150904486825218,-0.023066123638614378,UP
ADANIPORTS,2026-01-18 08:00:00,2,0.3333333333333333,0.4285714285714285,-0.013292090927314537,-0.018881118881118875,-0.04245151054102014,DOWN
ADANIPORTS,2026-01-23 08:00:00,2,-0.3333333333333333,0.1428571428571428,0.042418219936104284,-0.010662956210794383,-0.046223759151005295,UP
ADANIPORTS,2026-01-27 08:00:00,3,-0.1111111111111111,-0.0476190476190476,0.01319744825705449,-0.02283971706479493,-0.028131373031295426,UP
ADANIPORTS,2026-02-02 08:00:00,3,0.1111111111111111,-0.1428571428571428,0.09101281124950455,0.07970094238140257,0.08244951328108119,UP
ADANIPORTS,2026-02-04 08:00:00,4,-1.0,-0.4798534798534798,0.0014668835525224466,0.11909342063537287,0.15125736715668725,DOWN
ADANIPORTS,2026-02-05 08:00:00,4,-0.8333333333333334,-0.6941391941391941,-0.012418800539031216,0.01299967448980932,0.12215060697273317,UP
ADANIPORTS,2026-02-17 08:00:00,3,0.1111111111111112,-0.4523809523809524,-0.00989593278222578,0.020934857688034825,-0.006979511227858337,DOWN
ADANIPORTS,2026-02-23 08:00:00,6,-1.0,-0.8095238095238094,-0.0002571181395474298,0.027819979004519935,0.023963149713010168,DOWN
ADANIPORTS,2026-02-24 08:00:00,3,-0.3333333333333332,-0.7142857142857143,-0.017166049134045624,0.011379392108418873,-0.0074021327152643535,UP
ADANIPORTS,2026-02-25 08:00:00,4,1.0,-0.1428571428571428,0.014325914249735172,-0.0033423788912362307,-0.010023668998755397,DOWN
ADANIPORTS,2026-02-26 08:00:00,2,1.0,0.1428571428571428,-0.019089369309935877,-0.022116512713198255,-0.01921591945437684,DOWN
ADANIPORTS,2026-03-02 08:00:00,6,0.6666666666666669,0.5714285714285714,-0.02441680148393921,-0.07493870308360195,-0.05100891537276708,UP
ADANIPORTS,2026-03-04 08:00:00,2,0.3333333333333335,-0.1428571428571428,0.045245415023311475,-0.01426689754889876,-0.036315720675389795,DOWN
APOLLOHOSP,2025-06-02 07:00:00,5,-0.4181818181818182,-0.7506493506493507,-0.014894077162922348,-0.01596128531783092,-0.03567132346526025,UP
APOLLOHOSP,2025-07-01 07:00:00,7,-0.2380952380952381,-0.2163265306122448,-0.007337256001967107,0.018129589853313588,0.06186232928438651,UP
APOLLOHOSP,2025-08-21 07:00:00,5,0.1999999999999999,0.026890756302521,-0.0005046277902798213,0.01265417121187462,0.09619855035069524,DOWN
APOLLOHOSP,2025-08-22 07:00:00,10,0.0666666666666666,0.1714285714285714,-0.009024937903332142,-0.004059361486484558,0.006729763515654907,DOWN
APOLLOHOSP,2025-11-06 08:00:00,22,-0.1515151515151515,-0.3506493506493506,-0.017990243399812922,-0.023324208149178904,-0.030264614434690085,DOWN
APOLLOHOSP,2025-11-11 08:00:00,3,-0.1111111111111111,-0.1125541125541125,-0.000399956197756679,-0.01884323577669067,-0.023825079733507004,DOWN
APOLLOHOSP,2025-11-24 08:00:00,2,1.0,0.380952380952381,-0.0032633193649321823,-0.012461280182488044,-0.012128587698453597,UP
APOLLOHOSP,2025-12-24 08:00:00,2,-0.3333333333333334,0.1428571428571428,-0.002230928239304375,0.014459878462135922,0.014819524591215272,DOWN
APOLLOHOSP,2025-12-29 08:00:00,2,-0.3333333333333333,0.1428571428571428,-0.01333895199104973,-0.025376476383656144,0.010334620420115348,UP
APOLLOHOSP,2026-01-06 08:00:00,2,-0.3333333333333334,-0.1428571428571428,0.01354111106497724,0.044603441111787046,0.05123866626629359,DOWN
APOLLOHOSP,2026-01-07 08:00:00,4,-0.6666666666666666,0.0,-0.011144703562662839,0.03974307282564604,0.053576529705788856,DOWN
APOLLOHOSP,2026-01-09 08:00:00,4,0.6666666666666666,0.2857142857142857,0.0016537291646565588,-0.024034913274184277,0.02207693865717264,UP
