symbol,date,sentiment_mean,sentiment_std,positive_ratio,negative_ratio,news_count,rolling_3_sentiment,rolling_7_sentiment
ADANIENT,2025-07-31 07:00:00,0.5652173913043478,0.8434823356733,0.782608695652174,0.21739130434782608,23,0.18840579710144925,0.3664596273291925
ADANIENT,2025-08-01 07:00:00,1.0,0.0,1.0,0.0,2,0.18840579710144925,0.6521739130434783
ADANIENT,2025-08-08 07:00:00,1.0,0.0,1.0,0.0,2,1.0,0.6521739130434783
ADANIENT,2025-09-18 07:00:00,-0.3333333333333333,1.1547005383792517,0.3333333333333333,0.6666666666666666,3,-0.7777777777777778,-0.047619047619047616
ADANIENT,2025-09-19 07:00:00,-1.0,0.0,0.0,1.0,2,-0.7777777777777777,-0.619047619047619
ADANIENT,2025-09-22 07:00:00,-1.0,0.0,0.0,1.0,2,-1.0,-0.9047619047619048
ADANIENT,2025-10-28 07:00:00,0.0,1.4142135623730951,0.5,0.5,2,0.6666666666666666,0.0
ADANIENT,2025-10-31 07:00:00,0.0,1.4142135623730951,0.5,0.5,2,0.3333333333333333,0.42857142857142855
ADANIENT,2025-11-03 08:00:00,1.0,0.0,1.0,0.0,2,0.6666666666666666,0.7142857142857143
ADANIENT,2025-11-04 08:00:00,-0.1,1.0076629473115577,0.45,0.55,40,0.6333333333333333,0.5571428571428572
ADANIENT,2025-11-05 08:00:00,-0.3333333333333333,1.1547005383792517,0.3333333333333333,0.6666666666666666,3,0.18888888888888888,0.5095238095238095
ADANIENT,2025-11-06 08:00:00,1.0,0.0,1.0,0.0,4,1.0,0.6523809523809524
ADANIENT,2025-11-10 08:00:00,0.0,1.4142135623730951,0.5,0.5,2,0.0,0.380952380952381
ADANIENT,2025-11-11 08:00:00,1.0,0.0,1.0,0.0,3,0.6666666666666666,0.5714285714285714
ADANIENT,2025-11-12 08:00:00,0.16666666666666666,1.0298573010888745,0.5833333333333334,0.4166666666666667,12,0.05555555555555555,0.16666666666666669
ADANIENT,2025-11-16 08:00:00,0.0,1.4142135623730951,0.5,0.5,2,-4.625929269271486e-17,0.02380952380952382
ADANIENT,2025-11-17 08:00:00,0.5,1.0,0.75,0.25,4,0.5,0.09523809523809525
ADANIENT,2025-11-20 08:00:00,0.0,1.4142135623730951,0.5,0.5,2,0.16666666666666663,-0.04761904761904761
ADANIENT,2025-11-25 08:00:00,1.0,0.0,1.0,0.0,5,-0.3333333333333333,0.07142857142857142
ADANIENT,2025-11-26 08:00:00,0.5,1.0,0.75,0.25,4,0.16666666666666663,0.0
ADANIENT,2025-11-28 08:00:00,1.0,0.0,1.0,0.0,2,0.8333333333333334,0.21428571428571427
ADANIENT,2025-12-02 08:00:00,0.0,1.4142135623730951,0.5,0.5,2,0.6666666666666666,0.7857142857142857
ADANIENT,2025-12-08 08:00:00,0.0,1.1547005383792515,0.5,0.5,4,0.0,0.42857142857142855
ADANIENT,2025-12-10 08:00:00,0.3333333333333333,1.1547005383792517,0.6666666666666666,0.3333333333333333,3,0.4444444444444444,0.33333333333333337
ADANIENT,2025-12-18 08:00:00,1.0,0.0,1.0,0.0,2,0.3333333333333333,0.19047619047619047
ADANIENT,2026-01-20 08:00:00,1.0,0.0,1.0,0.0,2,1.0,1.0
ADANIENT,2026-01-22 08:00:00,1.0,0.0,1.0,0.0,2,1.0,1.0
ADANIENT,2026-01-23 08:00:00,0.625,0.8062257748298549,0.8125,0.1875,16,0.875,0.9464285714285714
ADANIENT,2026-01-27 08:00:00,-0.14285714285714285,1.0690449676496976,0.42857142857142855,0.5714285714285714,7,-0.047619047619047616,0.49744897959183676
